scope,pitch_type,metric,value,sample_n
overall,,heater_velocity,83.39147289473685,76
overall,,heater_velocity,87.64382140350878,57
overall,,heater_velocity,87.52777889830509,118
overall,,heater_velocity,87.90965296875,64
overall,,heater_velocity,88.76051856481482,432
overall,,heater_velocity,91.31324009009009,111
overall,,heater_velocity,89.81508461538462,26
overall,,heater_velocity,88.80891584070797,113
overall,,heater_velocity,90.87263783783784,37
overall,,heater_velocity,86.2328855952381,84
overall,,heater_velocity,90.36614031390135,223
overall,,heater_velocity,91.83194234811165,609
overall,,heater_velocity,90.93718397820163,367
overall,,heater_velocity,89.39409096774195,62
overall,,heater_velocity,94.95392147058823,34
overall,,heater_velocity,88.66046879032257,372
overall,,heater_velocity,86.23873982758622,58
overall,,heater_velocity,86.028392,25
overall,,heater_velocity,88.19359767578125,512
overall,,heater_velocity,88.45835908045977,87
overall,,heater_velocity,93.00353384615384,26
overall,,heater_velocity,89.00034511363637,88
overall,,heater_velocity,87.87882242603551,169
overall,,heater_velocity,85.60782373134329,67
overall,,heater_velocity,89.2558044516129,155
overall,,heater_velocity,93.1712146511628,43
overall,,heater_velocity,89.84676133757962,314
overall,,heater_velocity,85.75284032258064,93
overall,,heater_velocity,90.16217066350711,211
overall,,heater_velocity,90.1449265625,192
overall,,heater_velocity,90.67833523287672,365
overall,,heater_velocity,88.5131156744186,215
overall,,heater_velocity,89.4162958139535,129
overall,,heater_velocity,87.79929825870647,201
overall,,heater_velocity,90.09287702380952,84
overall,,heater_velocity,83.81122788778877,303
overall,,heater_velocity,89.45558993150685,146
overall,,heater_velocity,89.8216586111111,36
overall,,heater_velocity,96.65766912181303,353
overall,,heater_velocity,85.2020387037037,324
overall,,heater_velocity,87.1851174892704,466
overall,,heater_velocity,89.75658518750001,160
overall,,heater_velocity,74.41934258064516,31
overall,,heater_velocity,91.96062594594595,370
overall,,heater_velocity,89.58680037037037,54
overall,,heater_velocity,92.63976334637965,511
overall,,heater_velocity,85.84841971428571,70
overall,,heater_velocity,90.82017202357564,509
overall,,heater_velocity,92.34263307692308,312
overall,,heater_velocity,88.45437769230769,455
overall,,heater_velocity,87.59859082616178,581
overall,,heater_velocity,87.3121658045977,522
overall,,heater_velocity,79.91493764705882,34
overall,,heater_velocity,85.89240604651162,301
overall,,heater_velocity,85.07703681992336,261
overall,,heater_velocity,86.28908196581196,117
overall,,heater_velocity,84.4605275,28
overall,,heater_velocity,91.21885869387755,245
overall,,heater_velocity,90.70547714285713,280
overall,,heater_velocity,89.45476385665529,293
overall,,heater_velocity,86.9666036683417,199
overall,,heater_velocity,87.93228765027322,183
overall,,heater_velocity,85.77760538461538,78
overall,,heater_velocity,89.97701890710383,366
overall,,heater_velocity,90.43609554585153,229
overall,,heater_velocity,85.71954184931508,146
overall,,heater_velocity,85.02017398340249,241
overall,,heater_velocity,88.78887292069632,517
overall,,heater_velocity,87.99317339491917,433
overall,,heater_velocity,88.86804892753622,345
overall,,heater_velocity,96.30280096774193,31
overall,,heater_velocity,89.27949316901407,284
overall,,heater_velocity,94.73777126760564,284
overall,,heater_velocity,86.56598842105264,133
overall,,heater_velocity,84.03452224489797,49
overall,,heater_velocity,84.32629954128441,109
overall,,heater_velocity,92.14107731958762,97
overall,,heater_velocity,85.91117691358025,81
overall,,heater_velocity,89.3832026923077,52
overall,,heater_velocity,88.26532287330316,442
overall,,heater_velocity,91.09748685446009,213
overall,,heater_velocity,85.26673493333332,75
overall,,heater_velocity,89.08736610576922,208
overall,,heater_velocity,88.53736118881119,143
overall,,heater_velocity,91.6731045703125,256
overall,,heater_velocity,84.93593059322033,236
overall,,heater_velocity,88.76303342105263,38
overall,,heater_velocity,90.77216172240803,598
overall,,heater_velocity,86.52349223796034,353
overall,,heater_velocity,95.48559057142857,105
overall,,heater_velocity,85.50828666666668,63
overall,,heater_velocity,84.22519588235295,34
overall,,heater_velocity,85.84801793313069,329
overall,,heater_velocity,93.26642027272727,110
overall,,heater_velocity,89.90951273722628,274
overall,,heater_velocity,88.9767604516129,155
overall,,heater_velocity,84.53355960526315,152
overall,,heater_velocity,90.9307533519553,179
overall,,heater_velocity,83.22376023668639,169
overall,,heater_velocity,88.45418203125,256
overall,,heater_velocity,94.1059471559633,109
overall,,heater_velocity,89.76292877022654,309
overall,,heater_velocity,87.21614966666667,120
overall,,heater_velocity,89.01429111675127,197
overall,,heater_velocity,85.56867107142857,28
overall,,heater_velocity,87.83976541666667,72
overall,,heater_velocity,90.93749625,64
overall,,heater_velocity,92.05349074074074,27
overall,,heater_velocity,92.19907767164179,335
