co,team_abbr,Team,Primary Color,Secondary Color,NCAA_img,bref_name
76,WIN_EAG,Winthrop,#8B0000,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/winthrop.svg,Winthrop Eagles
77,LON_LAN,Longwood,#C8C9C7,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/longwood.svg,Longwood Lancers
78,PRE_BLH,Presbyterian,#9D2235,#CC0000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/presbyterian.svg,Presbyterian Blue Hose
79,RAD_HIG,Radford,#CC0000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/radford.svg,Radford Highlanders
80,NOR_AGG,N.C. A&T,#004684,#FDB927,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/nc-at.svg,North Carolina A&T Aggies
81,COL_CHA,Col. of Charleston,#8B0000,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/col-of-charleston.svg,College of Charleston Cougars
82,HOF_PRI,Hofstra,#FDC82F,#003591,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/hofstra.svg,Hofstra Pride
83,UNC_SEA,UNCW,#00A3E0,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg,UNC Wilmington Seahawks
84,WM_TRI,William & Mary,#046A38,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/william-mary.svg,William & Mary Tribe
85,MON_HAW,Monmouth,#A5A9AD,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/monmouth.svg,Monmouth Hawks
86,NOR_HUS,Northeastern,#D41B2C,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/northeastern.svg,Northeastern Huskies
87,ELO_PHO,Elon,#73000A,#B59A57,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/elon.svg,Elon Phoenix
88,DEL_BLU,Delaware,#FFD100,#00539F,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/delaware.svg,Delaware Blue Hens
89,SBU_SEA,Stony Brook,#CC0000,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/stony-brook.svg,Stony Brook Seawolves
90,TOW_TIG,Towson,#FFBF00,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/towson.svg,Towson Tigers
91,LOU_BUL,Louisiana Tech,#CB333B,#003087,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/louisiana-tech.svg,Louisiana Tech Bulldogs
92,UTS_ROA,UTSA,#E14504,#0B2240,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/utsa.svg,UTSA Roadrunners
93,FAU_OWL,Fla. Atlantic,#003366,#CC0000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fla-atlantic.svg,Florida Atlantic Owls
94,CHA_FOR,Charlotte,#046A38,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/charlotte.svg,Charlotte 49ers
95,MTSU_BLU,Middle Tenn.,#C8C9C7,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/middle-tenn.svg,Middle Tennessee Blue Raiders
96,UAB_BLA,UAB,#046A38,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uab.svg,UAB Blazers
97,RIC_OWL,Rice,#003DA5,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/rice.svg,Rice Owls
98,FLO_PAN,FIU,#B6862C,#081E3F,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fiu.svg,FIU Panthers
99,DAL_PAT,DBU,#0B1F2C,#C41230,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/dallas-baptist.svg,Dallas Baptist Patriots
100,WES_HIL,Western Ky.,#C8102E,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/western-ky.svg,Western Kentucky Hilltoppers
101,MAI_BLA,Maine,#003366,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/maine.svg,Maine Black Bears
102,UMASS_RIV,UMass Lowell,#041E42,#C8102E,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/umass-lowell.svg,UMass Lowell River Hawks
103,ALB_GRE,UAlbany,#46166B,#EEB211,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/albany-ny.svg,Albany Great Danes
104,NJI_HIG,NJIT,#071D49,#CC0000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/njit.svg,NJIT Highlanders
105,BIN_BEA,Binghamton,#006633,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/binghamton.svg,Binghamton Bearcats
106,UMBC_RET,UMBC,#FFD100,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/umbc.svg,UMBC Retrievers
107,BRY_BUL,Bryant,#FFB81C,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/bryant.svg,Bryant Bulldogs
108,LIB_FLA,Liberty,#041E42,#C8102E,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/liberty.svg,Liberty Flames
109,KEN_OWL,Kennesaw St.,#FFC72C,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/kennesaw-st.svg,Kennesaw State Owls
110,FGCU,FGCU,#00794C,#004785,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fgcu.svg,Florida Gulf Coast Eagles
111,JUD,Jacksonville,#C5B783,#004E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg,Jacksonville Dolphins
112,NOF_OSP,North Florida,#D9D9D9,#00246B,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/north-florida.svg,North Florida Ospreys
113,STE_HAT,Stetson,#006747,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/stetson.svg,Stetson Hatters
114,EKU_COL,Eastern Ky.,#861F41,#87909A,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/eastern-ky.svg,Eastern Kentucky Colonels
115,LIP_BIS,Lipscomb,#5C2E91,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lipscomb.svg,Lipscomb Bisons
116,JAC_GAM,Jacksonville St.,#CA2026,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/jacksonville-st.svg,Jacksonville State Gamecocks
117,CEN_BEA,Central Ark.,#C8C9C7,#512D6D,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/central-ark.svg,Central Arkansas Bears
118,BEL_KNI,Bellarmine,#CC092F,#CCCCCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/bellarmine.svg,Bellarmine Knights
119,ALA_LIO,North Ala.,#592B8A,#FFB92A,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/north-ala.svg,North Alabama Lions
120,QUN_RYL,Queens (NC),#00205B,#A89968,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/queens-nc.svg,Queens Royals
121,DAV_WIL,Davidson,#D02139,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/davidson.svg,Davidson Wildcats
122,VCU_RAM,VCU,#FFD100,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/vcu.svg,Virginia Commonwealth Rams
123,SLU_BILL,Saint Louis,#041E42,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-louis.svg,St. Louis Billikens
124,RHO_RAM,Rhode Island,#003DA5,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/rhode-island.svg,Rhode Island Rams
125,GEO_PAT,George Mason,#006633,#FFB81C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/george-mason.svg,George Mason Patriots
126,STJ_HAW,Saint Joseph's,#9E1B32,#6C6F70,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-josephs.svg,St. Joseph's Hawks
127,RIC_SPI,Richmond,#B30838,#041E42,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/richmond.svg,Richmond Spiders
128,DAY_FLY,Dayton,#002F87,#D70036,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/dayton.svg,Dayton Flyers
129,GEO_COL,George Washington,#003366,#CC9966,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/george-washington.svg,George Washington Colonials
130,FOR_RAM,Fordham,#72253D,#E1E1E1,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fordham.svg,Fordham Rams
131,UMA_AMH,Massachusetts,#881C1C,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg,UMass Minutemen
132,STB_BON,St. Bonaventure,#8B4513,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-bonaventure.svg,St. Bonaventure Bonnies
