"TaggedPitchType","Percentile","Value","Stat"
"Curveball",86,82.3185860977827,"AvgVelo"
"Curveball",87,82.4554784053685,"AvgVelo"
"Curveball",88,82.4661528960923,"AvgVelo"
"Curveball",89,82.4896421273768,"AvgVelo"
"Curveball",90,82.6631530164598,"AvgVelo"
"Curveball",91,83.0426140788235,"AvgVelo"
"Curveball",92,83.2339316909804,"AvgVelo"
"Curveball",93,83.5220721694479,"AvgVelo"
"Curveball",94,83.6898525822145,"AvgVelo"
"Curveball",95,83.7173199102725,"AvgVelo"
"Curveball",96,83.7831397474058,"AvgVelo"
"Curveball",97,84.062320249789,"AvgVelo"
"Curveball",98,84.2135493612423,"AvgVelo"
"Curveball",99,84.9845008248535,"AvgVelo"
"Curveball",100,87.4520415827338,"AvgVelo"
"Cutter",1,80.9235182558252,"AvgVelo"
"Cutter",2,81.2307594400306,"AvgVelo"
"Cutter",3,81.3162968061818,"AvgVelo"
"Cutter",4,81.6534154541299,"AvgVelo"
"Cutter",5,81.9719334339981,"AvgVelo"
"Cutter",6,82.2995774356093,"AvgVelo"
"Cutter",7,82.7020464938543,"AvgVelo"
"Cutter",8,82.9212681042798,"AvgVelo"
"Cutter",9,83.0763747301009,"AvgVelo"
"Cutter",10,83.2218649784938,"AvgVelo"
"Cutter",11,83.2620950024425,"AvgVelo"
"Cutter",12,83.300504921098,"AvgVelo"
"Cutter",13,83.3623735911569,"AvgVelo"
"Cutter",14,83.3915698295686,"AvgVelo"
"Cutter",15,83.4160307784694,"AvgVelo"
"Cutter",16,83.4473064091978,"AvgVelo"
"Cutter",17,83.6406270164027,"AvgVelo"
"Cutter",18,83.8236575708858,"AvgVelo"
"Cutter",19,83.9831858788357,"AvgVelo"
"Cutter",20,84.0536725201353,"AvgVelo"
"Cutter",21,84.2366095182918,"AvgVelo"
"Cutter",22,84.4313053561194,"AvgVelo"
"Cutter",23,84.5292732759701,"AvgVelo"
"Cutter",24,84.5513654680374,"AvgVelo"
"Cutter",25,84.5641311081118,"AvgVelo"
"Cutter",26,84.5914826711732,"AvgVelo"
"Cutter",27,84.6410378926456,"AvgVelo"
"Cutter",28,84.669890182043,"AvgVelo"
"Cutter",29,84.6734458251152,"AvgVelo"
"Cutter",30,84.7508606612903,"AvgVelo"
"Cutter",31,84.7974654738857,"AvgVelo"
"Cutter",32,84.8212131301139,"AvgVelo"
"Cutter",33,84.851387607346,"AvgVelo"
"Cutter",34,84.9705259310729,"AvgVelo"
"Cutter",35,85.1150111915479,"AvgVelo"
"Cutter",36,85.1906105006252,"AvgVelo"
"Cutter",37,85.2256320011058,"AvgVelo"
"Cutter",38,85.2428658363465,"AvgVelo"
"Cutter",39,85.248269000877,"AvgVelo"
"Cutter",40,85.3815913398813,"AvgVelo"
"Cutter",41,85.5318161990374,"AvgVelo"
"Cutter",42,85.6788888429946,"AvgVelo"
"Cutter",43,85.6952043110429,"AvgVelo"
"Cutter",44,85.752515992638,"AvgVelo"
"Cutter",45,85.8493453861789,"AvgVelo"
"Cutter",46,85.9251817154472,"AvgVelo"
