stat_type,player_name,team,program_name,source_group,njcaa_region,state,col_1,yr,pos,gp,tc,po,a,e,pb,f,dp,sba,rcs,rcs_1,ci,source_url,scraped_at,ab,h,rbi,bb,2b,3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,era,w,l,app,gs,sv,ip,r,er,k_9,whip,bf,wp,g,sb,cs,ops,gp_gs,tb,so,gdp,ob,sb_att,bio_link,w_l,app_gs,cg,sho,b_avg,bk,sfa,sha,c,fld,csb,no,gp_from_gp_gs,gs_from_gp_gs,app_from_app_gs,gs_from_app_gs,w_from_w_l,l_from_w_l,sb_from_sb_att,cs_from_sb_att,fpct,stats_team_name
fielding,Paul Acosta,Alvin College,Alvin College,Region 14,14,TX,6,RS SO,OF,5,5,1,4,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Josiah Bradford-Jackson,Alvin College,Alvin College,Region 14,14,TX,12,RS SO,RHP,12,1,0,1,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Hunter Henry,Alvin College,Alvin College,Region 14,14,TX,34,Fr,OF/INF,6,4,4,0,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Shane Jessen,Alvin College,Alvin College,Region 14,14,TX,24,SO,RHP,18,5,2,3,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Jordan Lowery,Alvin College,Alvin College,Region 14,14,TX,40,Fr,RHP,14,1,0,1,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Seve Martinez,Alvin College,Alvin College,Region 14,14,TX,11,RS SO,LHP,5,1,0,1,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Ethan Smith,Alvin College,Alvin College,Region 14,14,TX,23,Fr,RHP,15,8,5,3,0,,1,,,1,1,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Kapono Sullivan,Alvin College,Alvin College,Region 14,14,TX,39,Fr,RHP,9,1,0,1,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
fielding,Ely Yahil Torres Cruz,Alvin College,Alvin College,Region 14,14,TX,26,Fr,OF,9,3,3,0,0,,1,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=f,2026-08-28 16:30:21 CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alvin College
hitting,Paul Acosta,Alvin College,Alvin College,Region 14,14,TX,6,RS SO,OF,5,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,5,2,1,2,,,,0,3,0.4,0.571,0.4,,,,,,,,7,,,,,,,,,,,,,,5,,,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
