program_name,stats_team_name,source_group,njcaa_region,state,source_kind,source_url,include
Amarillo College,Amarillo College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/amarillocollege?view=lineup&pos=p,TRUE
Cisco College,Cisco College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/ciscocollege?view=lineup&pos=f,TRUE
Cisco College,Cisco College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/ciscocollege?view=lineup&pos=h,TRUE
Cisco College,Cisco College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/ciscocollege?view=lineup&pos=p,TRUE
Clarendon College,Clarendon College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/clarendoncollege?view=lineup&pos=f,TRUE
Clarendon College,Clarendon College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/clarendoncollege?view=lineup&pos=h,TRUE
Clarendon College,Clarendon College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/clarendoncollege?view=lineup&pos=p,TRUE
Collin County Community College,Collin County Community College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/collincountycommunitycollege?view=lineup&pos=f,TRUE
Collin County Community College,Collin County Community College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/collincountycommunitycollege?view=lineup&pos=h,TRUE
Collin County Community College,Collin County Community College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/collincountycommunitycollege?view=lineup&pos=p,TRUE
Dallas College Brookhaven,Dallas College Brookhaven,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegebrookhaven?view=lineup&pos=f,TRUE
Dallas College Brookhaven,Dallas College Brookhaven,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegebrookhaven?view=lineup&pos=h,TRUE
Dallas College Brookhaven,Dallas College Brookhaven,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegebrookhaven?view=lineup&pos=p,TRUE
Dallas College Cedar Valley,Dallas College Cedar Valley,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegecedarvalley?view=lineup&pos=f,TRUE
Dallas College Cedar Valley,Dallas College Cedar Valley,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegecedarvalley?view=lineup&pos=h,TRUE
Dallas College Cedar Valley,Dallas College Cedar Valley,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegecedarvalley?view=lineup&pos=p,TRUE
Dallas College Eastfield,Dallas College Eastfield,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegeeastfield?view=lineup&pos=f,TRUE
Dallas College Eastfield,Dallas College Eastfield,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegeeastfield?view=lineup&pos=h,TRUE
Dallas College Eastfield,Dallas College Eastfield,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegeeastfield?view=lineup&pos=p,TRUE
Dallas College Mountain View,Dallas College Mountain View,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegemountainview?view=lineup&pos=f,TRUE
Dallas College Mountain View,Dallas College Mountain View,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegemountainview?view=lineup&pos=h,TRUE
Dallas College Mountain View,Dallas College Mountain View,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegemountainview?view=lineup&pos=p,TRUE
Dallas College North Lake,Dallas College North Lake,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegenorthlake?view=lineup&pos=f,TRUE
Dallas College North Lake,Dallas College North Lake,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegenorthlake?view=lineup&pos=h,TRUE
Dallas College North Lake,Dallas College North Lake,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegenorthlake?view=lineup&pos=p,TRUE
